CASE,EX02_01,G101_01,G102_01,G103_01,G104_01,G105_01,G106_01,G107_01,G108_01,G109_01,G110_01,G111_01,G112_01,G113_01,G114_01,G115_01,G116_01,G117_01,G118_01,G119_01,G120_01,G121_01,G122_01,G123_01,G124_01,G125_01,G201_01,G202_01,G203_01,G204_01,G205_01,G206_01,G207_01,G208_01,G209_01,G210_01,G211_01,G212_01,G213_01,G214_01,G215_01,G216_01,G217_01,G218_01,G219_01,G220_01,G221_01,G222_01,G223_01,G224_01,G225_01,F101_01,F102_01,F103_01,F104_01,F105_01,F106_01,F107_01,F108_01,F109_01,F110_01,F111_01,F112_01,F113_01,F114_01,F115_01,F116_01,F117_01,F118_01,F119_01,F120_01,F121_01,F122_01,F123_01,F124_01,F125_01,F201_01,F202_01,F203_01,F204_01,F205_01,F206_01,F207_01,F208_01,F209_01,F210_01,F211_01,F212_01,F213_01,F214_01,F215_01,F216_01,F217_01,F218_01,F219_01,F220_01,F221_01,F222_01,F223_01,F224_01,F225_01
,Noun,bullet,glass,sports.garment,good,product,apparel,bedding,plasticware,tackle,china,garment,blanket,fishing.accessories,dish,container,ammunition,merchandise,sportswear,stock,glassware,beer,blood,water,coffee,soil,garment,blanket,fishing.accessory,dish,container,ammunition,glassware,merchandise,sportswear,stock,bullet,glass,good,sports.garment,product,apparel,bedding,plasticware,tackle,china,wine,sand,gold,steel,wood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Class,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,substance,substance,substance,substance,substance,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,object,substance,substance,substance,substance,substance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Countability,countable,countable,countable,countable,countable,uncountable,uncountable,uncountable,uncountable,uncountable,countable,countable,countable,countable,countable,uncountable,uncountable,uncountable,uncountable,uncountable,uncountable,uncountable,uncountable,uncountable,uncountable,countable,countable,countable,countable,countable,uncountable,uncountable,uncountable,uncountable,uncountable,countable,countable,countable,countable,countable,uncountable,uncountable,uncountable,uncountable,uncountable,uncountable,uncountable,uncountable,uncountable,uncountable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Condition,object,object,object,object,object,object,object,object,object,object,subkind,subkind,subkind,subkind,subkind,subkind,subkind,subkind,subkind,subkind,subkind,subkind,subkind,subkind,subkind,object,object,object,object,object,object,object,object,object,object,subkind,subkind,subkind,subkind,subkind,subkind,subkind,subkind,subkind,subkind,subkind,subkind,subkind,subkind,subkind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20,5955578c868d3100010cfa1a,4,7,7,7,7,7,5,1,7,7,7,1,7,7,1,1,7,7,7,7,7,7,7,1,7,7,7,7,7,1,4,4,7,7,7,1,7,7,7,7,7,1,1,7,3,1,7,7,1,4,7,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,4,1,7,7,1,7,4,7,7,7,1,1,7,1,4,1,7,4,7,7,7,7,1,1,7,7
21,5b5e597d4e945800017dda68,3,6,7,7,7,2,1,1,7,1,7,7,7,7,1,5,7,7,7,1,5,7,2,7,7,7,7,7,7,2,4,7,7,7,7,3,2,7,4,7,7,6,6,7,6,1,7,7,6,7,1,1,1,7,1,4,1,6,2,1,3,1,1,1,1,1,1,6,1,3,1,3,1,1,1,1,7,7,1,7,4,7,7,7,7,1,1,2,7,2,7,7,7,7,1,7,7,7,7,7
22,5f0f8ca8356665165fe18328,4,6,3,6,5,2,7,2,3,4,6,5,6,5,5,5,5,6,5,2,6,2,5,5,5,6,7,5,5,5,5,4,4,4,2,5,4,5,5,5,4,5,5,5,4,5,6,5,5,4,1,1,1,3,3,4,2,2,2,3,5,1,2,2,4,3,3,3,2,3,4,2,3,4,4,6,7,7,7,7,4,2,7,5,6,4,3,5,7,5,7,5,7,7,7,7,7,7,7,6
23,5bc4784e85214800017d8c1a,5,6,6,6,5,4,5,6,5,7,5,7,4,5,4,2,7,1,6,4,5,6,5,4,5,4,7,6,7,5,4,3,5,3,3,3,5,7,6,7,5,7,4,2,3,3,4,5,3,7,1,1,1,2,1,2,3,1,1,1,5,3,1,1,1,1,1,3,1,3,1,1,1,1,1,7,7,7,5,5,6,5,7,7,5,4,7,7,7,6,7,6,6,6,7,7,7,7,5,7
24,5bfb245c26e31d0001048012,2,7,7,2,6,2,2,7,2,6,3,7,6,6,2,3,5,7,6,6,5,6,5,5,2,7,2,2,4,7,2,2,6,6,2,5,4,7,7,4,5,7,4,4,6,4,4,5,2,5,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,7,7,6,7,5,5,7,4,5,2,7,3,7,3,7,4,6,7,7,7,2,3,6,4
25,60ee1474e6467957994ce2ff,3,7,7,2,6,7,7,6,7,7,7,4,7,3,4,6,7,7,2,4,1,7,7,7,2,7,7,7,7,7,5,5,6,7,7,3,7,6,7,7,7,5,4,6,4,7,7,7,3,7,1,1,1,1,1,1,3,1,1,6,4,1,1,1,1,1,1,6,1,1,3,3,2,1,1,3,7,1,4,7,4,6,7,7,5,1,7,4,7,7,7,7,4,7,7,6,1,3,7,7
26,61012b949abec48d9755d6c6,4,3,4,2,3,4,5,2,4,3,4,1,3,5,2,5,2,3,2,1,5,2,2,2,4,3,5,3,4,3,4,2,2,2,2,4,3,2,3,2,3,2,2,5,4,2,3,3,3,4,1,1,2,4,1,2,1,1,1,2,4,2,1,1,1,1,1,2,1,4,1,1,1,2,3,6,7,6,5,6,1,3,6,5,4,6,4,5,5,3,7,6,6,4,6,5,6,6,2,6
27,5ced28579d75d000011572be,3,7,5,3,5,3,6,6,5,6,6,6,7,5,3,3,6,6,6,2,6,5,6,6,6,6,5,5,5,4,4,2,3,5,3,4,6,7,7,5,5,7,3,5,5,2,5,6,2,6,1,1,1,2,1,3,1,2,1,1,6,1,1,1,1,1,2,1,1,1,1,1,1,1,2,6,7,7,3,7,6,5,7,6,3,3,6,3,7,4,7,6,6,7,7,7,4,5,5,6
29,5e20b67d1bad6c3c1af25ded,7,4,7,1,7,7,7,1,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,1,1,4,1,1,4,7,7,7,1,5,4,7,7,1,4,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,4,7,1,1,7,7,1,7,7,1,7,7,7,7,7,7,7,7,1,1,1,7
30,5f3013e31c8a690aacb02c31,6,7,2,1,1,2,6,2,6,6,5,5,6,2,1,6,6,7,5,1,7,2,5,6,4,6,7,6,7,1,2,3,1,4,1,6,1,6,6,7,6,6,6,6,3,1,6,6,2,5,1,1,1,1,1,6,2,1,1,1,7,1,1,1,1,1,3,6,1,3,1,1,1,1,3,7,7,6,1,1,5,3,7,7,6,7,7,7,7,7,7,7,5,6,7,7,7,7,7,7
31,5fcead109898cb1466641f65,3,7,3,1,3,2,7,2,2,5,3,5,7,5,5,6,6,7,2,1,3,3,3,6,5,7,7,7,7,1,3,1,3,5,2,7,2,5,7,6,6,7,6,6,2,5,6,7,3,7,2,1,1,3,1,3,3,1,1,2,7,1,1,5,6,1,6,7,3,6,2,1,6,3,6,7,7,6,7,7,7,7,7,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7
33,61542508e4600733844ab8af,4,5,7,5,7,3,4,1,5,6,7,7,7,1,1,5,5,7,6,2,7,6,6,7,7,5,5,6,5,1,4,1,3,5,1,4,5,7,7,7,6,7,2,5,3,7,7,7,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,4,7,7,7,7,7,4,4,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7
34,5f5fc58bfcb0db07c6c64d9e,4,7,7,6,7,5,7,2,2,7,6,6,6,3,3,4,6,1,7,1,6,1,3,5,7,7,7,6,7,2,5,2,5,5,2,6,4,7,6,7,6,6,5,6,4,4,6,7,4,5,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,1,3,1,1,4,7,7,7,6,7,3,3,7,7,7,7,7,4,7,7,7,7,7,7,7,7,4,5,7,6
35,605c587ecafedbb7875df03c,1,7,4,4,7,6,7,7,5,5,7,7,7,6,5,6,3,1,5,2,7,5,7,7,2,7,6,4,4,5,5,1,5,4,5,6,6,4,3,6,6,7,6,4,6,7,4,5,7,4,1,1,1,1,1,6,1,1,1,3,1,1,4,1,4,2,6,6,1,1,3,2,5,7,6,7,7,7,3,7,5,3,7,7,5,4,5,3,7,5,6,5,7,7,7,6,1,1,7,7
37,5e384b1b6652df02300bbb15,2,7,5,2,2,2,7,6,2,1,3,3,4,2,7,3,3,7,2,1,2,5,3,7,7,3,7,3,4,1,2,1,3,4,3,3,1,4,6,4,3,5,1,3,2,2,6,4,1,7,1,1,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,7,7,7,7,6,7,7,7,1,2,7,7,7,7,7,6,7,7,5,7,5,5,7,7
38,61220eed4945bed49e30ed10,7,4,7,7,6,5,7,5,6,7,6,5,7,5,6,6,6,5,7,3,4,6,6,7,4,5,7,5,4,5,7,2,4,4,4,5,4,5,4,4,4,4,4,3,4,4,3,4,4,4,1,1,1,2,4,2,3,5,3,7,5,2,1,2,4,5,4,2,4,4,5,4,2,4,3,7,7,7,7,7,6,5,6,7,6,2,7,6,7,7,7,7,7,7,7,4,7,7,7,7
40,59d0d2f54f2d3d0001d8e04f,3,7,7,2,7,4,7,7,6,7,7,7,5,4,6,1,7,4,7,2,7,7,7,7,7,7,7,5,7,1,4,1,2,7,1,1,5,4,7,7,7,7,1,4,5,4,4,6,1,4,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,7,7,2,5,1,3,7,7,2,3,6,1,7,5,7,4,7,6,7,7,4,4,7,5
41,6107b36f1e447f3291ffb10c,7,7,3,1,7,3,7,3,2,1,4,6,7,6,3,3,2,4,1,1,2,1,4,3,6,4,7,2,7,1,7,1,1,3,1,1,5,1,1,1,3,7,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1,1,4,1,1,5,2,1,4,1,1,7,7,7,3,6,2,4,7,7,6,5,4,1,7,1,7,7,7,7,7,7,7,7,7,7
42,5c52b7e6251e080001c0c794,4,7,7,5,7,7,7,7,7,7,7,6,7,6,1,6,7,7,7,3,7,7,7,7,7,6,6,7,7,4,3,1,6,7,1,5,3,5,6,7,6,6,3,6,7,1,6,7,7,7,1,1,2,3,2,3,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,3,1,7,7,7,4,7,6,7,7,7,5,7,7,6,7,7,7,7,7,7,7,7,7,7,6,7
43,60c10f25b2abc02cc4c6a8ff,1,6,1,1,4,1,7,1,5,1,1,1,1,1,6,6,7,6,3,1,3,1,1,1,1,6,7,5,1,1,1,1,1,5,1,1,1,6,6,7,5,6,5,4,1,1,6,1,1,1,1,1,1,5,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,5,1,1,1,1,4,6,7,7,4,5,3,7,2,5,6,5,7,6,7,6,7,6,7,7,7,7,7,7,7,7
45,5afc1c1c96a88e0001ff1c01,1,7,2,5,6,1,2,1,1,7,1,5,6,3,5,1,6,5,6,1,7,1,4,5,2,1,7,7,7,1,1,1,2,2,1,1,2,7,3,6,3,7,4,1,1,1,4,1,4,4,1,1,1,1,1,3,1,1,1,1,7,1,1,1,1,1,1,1,1,1,3,2,1,1,1,7,7,7,5,2,1,6,7,7,7,6,5,7,7,6,7,7,3,6,7,7,7,7,7,7
46,5ce7d6b62e037a0015e7333c,2,5,2,2,7,1,4,1,7,7,1,6,1,2,2,4,4,7,1,1,3,2,1,6,3,6,7,5,7,1,3,1,2,5,1,6,1,7,6,7,3,7,2,7,2,2,6,5,2,2,1,1,1,6,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,3,6,7,7,7,7,3,7,7,5,7,7,7,6,7,7,6,1,6,7
47,5fd09d8f70475f0260720162,2,7,5,2,7,3,7,3,5,5,7,5,6,5,1,2,3,6,6,3,5,7,5,7,7,5,7,6,5,1,1,1,3,3,1,5,2,1,7,7,2,5,1,5,5,1,7,2,5,7,1,1,1,7,1,7,1,1,1,2,7,1,1,1,1,1,1,1,1,2,1,1,1,1,1,7,7,7,7,7,1,7,7,7,7,3,7,2,7,3,7,7,7,7,7,7,7,7,3,7
48,60fd47060f9034b90c94ac08,5,6,7,5,6,2,7,1,6,5,7,6,5,6,3,7,7,7,6,3,7,6,5,6,5,6,6,5,6,1,5,2,5,5,3,7,2,7,7,7,5,6,1,5,5,3,6,5,5,6,3,1,1,1,2,6,3,4,1,1,4,1,1,1,1,1,3,1,1,3,1,1,1,4,1,7,7,7,7,7,5,7,7,5,6,7,7,7,6,7,7,7,5,7,7,7,6,6,2,7
50,60565342bf35f1e7658b3458,1,7,6,3,3,1,1,1,3,7,5,6,7,3,6,6,6,3,5,2,3,1,1,1,2,7,6,7,7,1,7,1,1,2,1,1,3,7,3,7,3,1,1,5,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,7,1,3,6,7,7,6,7,5,7,1,7,1,7,5,5,7,7,7,7,5,7,5
51,603eafab982298f40bfe9120,4,6,4,1,3,2,5,1,2,4,4,7,4,4,1,4,3,3,4,5,4,5,2,2,2,4,6,3,5,1,4,2,1,4,1,4,4,2,2,4,4,4,1,3,4,2,3,2,3,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,6,4,5,2,2,7,5,3,2,6,1,7,1,7,1,5,4,6,5,2,2,5,5
52,5f91a37ee40e04036b0ee45b,5,7,7,6,7,6,5,3,7,7,7,6,7,5,3,1,7,7,7,1,7,6,7,7,7,7,7,7,6,1,1,1,1,7,1,3,5,7,7,6,7,7,5,7,7,1,7,7,3,7,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,6,7,7,6,6,1,6,7,7,5,5,7,3,7,6,7,7,7,7,7,7,7,7,7,7
53,614dbfd84002a61c075c791c,5,7,4,4,6,1,6,3,5,6,2,5,2,1,3,6,3,2,4,1,6,2,2,7,1,4,7,6,7,1,6,1,2,3,1,3,2,3,3,3,3,5,3,4,2,2,2,4,3,4,2,1,1,5,1,6,2,2,1,5,6,1,1,1,1,1,5,1,1,5,1,1,1,4,6,7,7,7,3,6,5,6,7,6,7,7,7,6,6,7,7,7,7,7,7,7,7,7,5,7
54,60a5552c08038da921d5e7d1,6,6,6,7,7,2,7,3,7,7,5,6,7,6,6,7,4,5,7,2,5,4,4,5,6,7,7,7,7,1,7,1,1,7,2,6,4,7,5,7,7,7,7,7,5,3,4,5,4,5,2,1,1,4,2,5,1,1,2,2,7,2,2,1,1,1,5,6,1,7,2,1,2,2,6,4,7,7,7,6,7,5,7,7,6,7,5,7,7,6,7,7,7,7,7,7,7,7,7,7
55,5d41ef9d57382300015d1564,6,7,7,5,6,3,4,3,6,6,5,7,7,4,5,7,4,4,3,1,7,7,6,7,5,6,6,6,6,2,4,3,4,4,2,5,3,4,5,5,5,7,2,6,5,2,7,6,3,7,2,1,1,3,1,5,2,5,2,2,4,1,1,1,1,3,1,6,2,3,1,1,3,6,6,6,6,7,2,7,5,4,7,6,6,5,5,1,7,5,7,5,6,7,4,7,3,7,6,7